type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,7.2,0.06,0.36,10.4,0.006,27.78,6.86,1.0,3.16,0.54,9.4,3
red,11.0,0.44,0.1,8.0,0.113,25.18,38.75,0.998,3.12,0.42,9.3,3
red,7.1,0.47,0.33,2.1,0.058,18.15,68.88,0.995,2.97,0.75,11.0,8
red,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.996,3.25,0.63,9.2,5
red,7.8,0.61,0.08,13.8,0.071,8.51,58.86,0.992,3.22,0.5,11.3,3
red,8.6,0.83,0.0,2.8,0.095,17.0,43.0,0.998,3.33,0.6,10.4,6
red,7.4,0.19,0.33,3.1,0.068,30.88,82.26,0.993,3.19,0.86,10.7,8
red,8.8,0.36,0.43,6.6,0.094,43.79,10.19,0.994,3.44,0.81,11.1,8
red,5.7,0.49,0.21,4.0,0.053,10.69,140.43,0.992,3.35,0.98,12.6,8
red,9.9,0.36,0.36,3.2,0.006,30.2,177.77,0.995,2.9,0.52,10.1,3
red,7.0,0.34,0.33,7.5,0.071,33.0,108.0,0.991,3.37,0.53,12.7,6
red,7.5,0.33,0.37,8.2,0.044,18.11,180.16,0.997,3.24,0.46,11.3,3
red,9.0,0.22,0.18,3.3,0.056,2.37,90.04,0.994,3.29,0.74,13.1,8
red,11.7,0.76,0.28,4.4,0.012,43.74,134.72,0.997,3.32,0.25,9.4,3
red,11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,6
red,11.7,0.9,0.2,3.9,0.069,29.22,142.75,0.997,3.45,0.8,10.3,3
red,7.9,0.72,0.19,5.0,0.003,9.96,51.32,0.995,3.44,0.77,8.3,5
red,9.0,0.6,0.29,2.0,0.069,32.0,73.0,0.997,3.34,0.57,10.0,5
red,8.2,0.43,0.61,8.3,0.065,11.71,31.19,0.996,3.22,0.48,13.3,8
red,8.5,0.41,0.53,2.3,0.043,21.21,89.12,0.997,3.43,0.72,11.3,8
red,5.6,0.61,0.69,6.5,0.073,26.41,55.28,0.995,3.37,0.83,12.3,8
red,4.6,0.23,0.41,3.0,0.015,28.0,170.0,1.0,3.39,0.49,11.9,5
red,9.9,0.38,0.44,5.7,0.063,8.67,10.19,0.994,3.14,0.57,13.8,8
red,7.9,0.27,0.4,7.5,0.038,41.9,80.56,0.994,3.32,0.37,9.8,3
red,9.0,0.48,0.28,9.2,0.063,44.24,187.91,0.999,3.35,0.55,10.1,3
red,8.0,0.19,0.27,11.3,0.088,19.16,156.21,0.993,3.1,0.49,11.5,3
red,10.2,0.92,0.49,11.3,0.063,15.81,163.91,0.995,3.41,0.44,9.7,3
red,6.3,0.39,0.18,4.0,0.085,32.18,43.21,0.996,2.9,0.73,9.0,3
red,6.8,0.69,0.01,4.8,0.023,25.45,45.09,0.998,3.18,0.63,8.9,3
red,8.2,0.16,0.35,5.4,0.007,33.75,69.32,0.992,3.26,0.4,11.7,7
red,6.9,0.88,0.34,8.4,0.063,13.14,215.42,0.997,3.03,0.56,11.1,3
red,6.5,0.4,0.41,0.6,0.042,50.0,120.0,0.995,3.1,0.47,11.3,6
red,4.3,0.41,0.62,0.5,0.035,34.35,153.62,0.996,3.23,0.76,10.6,3
red,6.0,0.35,0.1,4.2,0.066,29.99,84.57,0.996,3.19,1.03,11.9,8
red,10.1,0.29,0.3,7.2,0.068,15.13,113.57,0.997,3.03,0.83,11.8,8
red,7.5,0.62,0.38,3.1,0.088,1.45,223.21,1.001,3.29,0.46,10.9,3
red,7.6,0.41,0.62,3.6,0.069,28.05,125.58,0.994,3.01,0.5,12.6,8
red,7.8,0.36,0.5,1.4,0.083,16.16,160.3,1.0,3.46,0.55,10.3,3
red,5.1,0.45,0.51,1.0,0.07,17.93,96.15,0.997,2.87,0.88,11.9,8
red,9.1,0.4,0.37,2.4,0.046,2.37,74.28,0.996,3.24,0.73,10.4,8
red,7.0,0.4,0.16,4.5,0.042,10.95,51.44,0.996,3.23,0.59,11.4,4
red,7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.996,3.32,0.7,11.0,6
red,11.6,0.5,0.19,0.5,0.054,15.33,169.38,0.994,3.05,0.72,12.0,8
red,8.0,0.18,0.09,9.4,0.08,27.58,71.2,0.998,3.23,0.64,9.9,3
red,8.0,0.22,0.2,0.6,0.079,3.0,105.0,0.992,3.26,0.36,12.4,4
red,11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.999,3.15,0.63,10.5,6
red,4.9,0.44,0.33,2.4,0.066,18.76,10.19,0.999,3.43,0.67,8.8,8
red,8.3,0.1,0.46,0.5,0.022,35.79,91.81,0.99,3.37,0.26,10.2,3
red,6.8,0.48,0.54,10.7,0.086,39.22,124.94,0.997,3.26,0.46,12.2,3
red,10.4,1.05,0.2,3.0,0.05,28.35,224.02,0.998,3.37,0.58,8.5,3
red,6.7,0.43,0.2,4.5,0.016,17.0,131.0,0.991,3.05,0.83,10.6,6
red,10.2,0.4,0.4,2.5,0.068,41.0,54.0,0.998,3.38,0.86,10.5,6
red,6.3,0.08,0.24,3.9,0.072,19.0,113.0,0.996,3.36,0.68,9.6,6
red,8.6,0.65,0.52,8.1,0.044,32.73,122.05,0.995,3.26,0.67,10.9,3
red,8.4,0.6,0.46,2.1,0.006,17.03,62.26,0.993,3.23,0.37,9.8,3
red,10.3,0.12,0.41,7.7,0.073,13.56,73.36,0.998,3.06,0.9,8.4,5
red,8.4,0.59,0.29,2.6,0.109,31.0,119.0,0.998,3.15,0.5,9.1,5
red,8.6,0.49,0.17,4.2,0.052,48.23,79.67,0.996,2.9,0.83,11.3,8
red,5.4,0.77,0.49,0.4,0.003,19.35,175.42,0.993,3.19,0.41,10.8,5
red,5.6,0.6,0.05,2.4,0.073,19.0,25.0,0.993,3.56,0.55,12.9,5
red,8.7,0.36,0.31,2.8,0.04,45.0,103.0,0.997,3.46,0.56,11.6,7
red,11.1,0.24,0.44,6.0,0.023,65.64,65.25,0.995,3.21,0.68,9.7,5
red,9.1,0.13,0.25,0.8,0.139,29.05,94.69,0.995,3.38,0.86,12.2,7
red,8.2,0.36,0.27,0.5,0.031,36.72,54.54,1.001,3.18,0.42,10.7,3
red,9.9,0.39,0.4,5.9,0.068,18.39,27.18,0.997,3.2,0.72,12.0,8
red,5.3,0.6,0.13,2.8,0.052,15.65,10.19,0.996,3.28,0.87,10.6,8
red,8.2,0.29,0.37,7.3,0.086,21.0,104.0,0.999,3.28,0.61,9.2,6
red,8.5,0.77,0.39,8.1,0.039,46.26,153.33,0.995,3.2,0.55,8.7,6
red,7.7,0.07,0.33,6.1,0.094,2.37,12.55,0.993,3.29,0.55,14.1,8
red,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.996,3.3,0.46,9.4,5
red,7.4,0.51,0.13,9.2,0.195,40.02,28.75,0.997,3.37,0.48,9.8,5
red,6.3,0.48,0.34,10.6,0.109,53.0,98.0,0.993,3.01,0.5,10.6,5
red,5.8,0.39,0.24,3.4,0.044,22.37,122.09,0.996,3.37,0.77,10.0,4
red,9.5,0.5,0.06,3.6,0.055,5.27,22.17,0.995,3.34,0.87,13.0,8
red,7.1,0.65,0.1,8.6,0.14,1.0,93.0,0.997,3.34,0.35,10.2,7
red,9.2,0.29,0.3,1.1,0.075,22.18,10.19,0.995,3.13,0.94,12.9,8
red,9.0,0.66,0.38,2.6,0.067,24.2,49.84,0.992,3.09,0.89,12.9,8
red,6.6,0.67,0.56,4.2,0.044,15.5,213.81,0.992,3.29,0.39,8.5,3
red,7.5,0.42,0.36,10.6,0.089,42.0,95.0,0.996,2.98,0.63,10.4,4
red,7.3,0.43,0.31,9.3,0.169,45.82,116.04,0.996,3.6,0.4,11.6,3
red,7.3,1.03,0.27,7.7,0.152,7.27,79.5,0.997,3.12,0.53,10.1,5
red,8.7,0.49,0.28,1.6,0.112,6.63,116.79,0.997,3.63,0.74,8.4,5
red,6.0,0.48,0.51,0.5,0.083,1.45,105.05,1.001,2.9,0.53,9.9,3
red,8.7,0.42,0.43,3.3,0.033,33.88,127.65,0.998,3.38,0.69,12.0,8
red,5.1,0.55,0.65,1.3,0.071,7.78,22.06,0.997,3.25,0.98,10.8,8
red,6.6,0.42,0.1,0.5,0.058,52.79,67.29,0.991,3.35,0.48,10.8,3
red,8.1,0.53,0.5,5.4,0.091,2.37,10.19,0.995,3.48,0.9,11.5,8
red,6.0,0.06,0.59,10.2,0.121,11.23,84.12,0.997,3.4,0.52,12.4,3
red,6.9,0.41,0.45,4.2,0.056,33.0,100.0,0.996,3.21,0.44,12.0,6
red,10.2,0.22,0.51,11.6,0.053,6.94,117.23,0.995,3.3,0.46,9.8,3
red,6.6,1.16,0.35,13.8,0.181,16.61,117.7,0.996,3.41,0.56,11.6,3
red,8.6,0.4,0.56,1.6,0.044,7.99,28.88,0.992,3.06,0.55,10.1,5
red,7.0,0.28,0.38,8.4,0.149,46.85,16.85,0.996,3.21,0.52,10.3,3
red,7.6,0.16,0.45,2.0,0.02,19.7,15.1,0.992,3.1,0.56,9.6,3
red,7.8,0.34,0.24,7.2,0.079,2.37,10.19,0.993,3.3,0.72,12.3,8
red,9.6,0.28,0.45,0.5,0.051,45.58,75.98,0.995,3.44,0.82,11.1,8
red,5.8,0.53,0.32,2.9,0.053,24.3,139.89,0.994,3.28,0.83,9.5,4
red,7.3,0.91,0.1,1.8,0.074,20.0,56.0,0.997,3.35,0.56,9.2,5
red,7.7,0.99,0.34,3.7,0.013,57.55,107.55,0.996,3.04,0.61,9.8,3
red,8.6,0.43,0.02,5.6,0.034,23.5,140.14,0.994,3.07,0.81,13.7,8
red,8.6,0.58,0.63,0.5,0.081,22.69,10.19,0.994,3.18,0.9,10.2,8
red,6.8,0.3,0.29,12.3,0.088,22.0,131.0,0.999,3.53,0.22,9.5,5
red,9.8,0.48,0.24,7.5,0.035,51.7,74.18,0.991,3.55,0.87,10.9,8
red,7.3,0.34,0.3,2.2,0.075,27.33,189.96,0.993,3.38,0.65,10.1,3
red,5.2,0.4,0.49,1.0,0.06,16.73,10.19,0.998,3.23,0.7,12.1,8
red,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.995,3.39,0.47,10.0,7
red,8.9,0.41,0.38,3.9,0.01,26.09,177.09,1.0,3.11,0.61,12.1,4
red,6.4,0.39,0.42,4.3,0.027,47.0,93.0,0.996,3.2,0.35,10.9,6
red,9.9,0.22,0.31,7.9,0.079,9.15,77.14,0.995,3.07,0.52,11.8,3
red,5.3,0.2,0.24,7.1,0.045,7.09,124.25,0.991,2.99,0.43,10.8,3
red,9.8,0.56,0.52,13.0,0.118,39.54,111.05,1.0,3.32,0.69,10.1,3
red,7.6,0.55,0.36,6.7,0.05,2.37,194.81,0.995,3.4,0.62,9.4,8
red,7.9,0.45,0.48,2.8,0.02,2.37,169.53,0.992,3.52,0.6,11.2,8
red,7.6,0.32,0.55,2.6,0.093,37.16,103.38,0.995,3.26,0.43,11.1,3
red,7.2,0.62,0.27,7.8,0.07,18.21,10.19,0.999,3.26,0.4,13.1,8
red,8.5,0.52,0.27,5.5,0.039,51.0,77.0,0.996,3.57,0.63,11.7,4
red,7.9,0.28,0.18,9.4,0.078,22.23,80.04,0.995,3.26,0.76,8.5,3
red,9.2,0.28,0.38,4.7,0.04,36.64,73.0,0.994,3.28,0.83,14.1,8
red,7.2,0.91,0.47,9.9,0.071,28.96,96.56,0.993,3.28,0.53,10.0,3
red,7.1,0.37,0.4,4.0,0.082,37.88,94.86,0.993,2.9,0.71,11.0,3
red,8.3,0.53,0.0,1.4,0.07,6.0,14.0,0.996,3.25,0.64,10.0,6
red,7.8,0.32,0.1,0.6,0.067,46.0,98.0,0.997,3.16,0.43,10.4,5
red,8.0,0.56,0.46,4.5,0.071,12.44,40.03,0.995,3.23,0.89,11.7,8
red,5.3,0.69,0.15,4.1,0.006,40.93,133.22,0.994,3.13,0.64,9.6,3
red,9.0,0.39,0.22,2.2,0.075,16.35,84.32,0.995,3.31,0.78,10.7,8
red,5.8,0.18,0.05,1.2,0.078,41.12,165.26,0.99,3.25,0.5,8.4,3
red,6.9,0.43,0.44,7.1,0.089,2.37,10.19,0.995,3.08,0.37,10.4,8
red,8.2,0.24,0.28,3.8,0.135,0.07,3.11,0.994,3.42,0.65,10.5,7
red,5.9,0.22,0.25,5.5,0.059,33.0,91.0,0.994,3.02,0.3,10.0,5
red,7.3,0.45,0.62,8.1,0.089,19.22,144.89,0.996,3.31,0.63,10.7,3
red,7.8,0.47,0.06,8.2,0.038,38.15,73.13,0.998,3.57,0.57,12.6,5
red,9.5,0.29,0.24,0.9,0.091,32.8,89.92,0.998,3.73,0.48,10.4,8
red,9.0,0.82,0.05,2.4,0.081,26.0,96.0,0.998,3.36,0.53,10.0,5
red,10.7,0.07,0.16,4.8,0.084,35.69,72.09,0.999,3.4,0.43,11.8,5
red,9.3,0.43,0.59,8.3,0.079,29.42,97.37,0.996,3.27,0.72,9.9,8
red,8.4,0.26,0.17,0.6,0.075,20.0,9.0,0.998,3.04,0.78,11.0,5
red,5.2,0.14,0.34,1.6,0.089,12.69,6.86,0.998,3.31,0.3,11.0,3
red,11.0,0.72,0.68,3.0,0.054,2.37,71.28,0.995,3.25,0.61,12.1,8
red,8.7,0.19,0.29,4.9,0.095,3.62,47.8,0.996,3.14,0.33,11.8,6
red,9.3,0.34,0.71,1.4,0.036,36.9,10.19,0.998,3.28,0.53,10.0,8
red,6.6,0.35,0.02,1.7,0.054,2.37,65.75,0.995,2.87,0.76,10.1,8
red,9.9,0.58,0.2,10.5,0.006,11.7,107.63,0.992,3.35,0.48,11.4,3
red,5.3,0.89,0.45,5.4,0.075,12.02,72.66,0.993,3.17,0.51,11.7,3
red,6.9,0.91,0.43,4.5,0.111,41.53,190.21,0.998,3.5,0.55,11.3,3
red,5.9,0.18,0.34,11.3,0.099,21.81,96.1,0.995,3.47,0.45,10.1,5
red,8.8,0.48,0.38,2.3,0.058,6.08,79.83,0.995,3.14,0.63,9.6,8
red,6.0,0.17,0.73,4.2,0.048,29.64,177.08,0.996,2.87,1.11,8.6,8
red,5.7,0.22,0.16,7.1,0.059,49.0,6.0,1.0,3.27,0.55,8.6,6
red,11.2,0.43,0.18,4.3,0.116,0.07,56.95,0.996,3.33,0.52,9.0,5
red,7.0,0.1,0.19,0.4,0.088,55.0,75.34,1.0,2.97,0.63,10.0,7
red,4.3,0.46,0.27,0.6,0.123,29.37,6.86,0.996,3.47,0.46,9.4,3
red,4.9,0.56,0.26,6.9,0.079,37.29,6.86,0.999,3.17,0.52,8.7,3
red,10.8,0.63,0.32,5.6,0.084,20.57,71.05,0.997,3.16,0.3,9.1,3
red,4.7,0.39,0.45,4.9,0.058,2.37,112.28,0.994,3.21,1.05,11.7,8
red,4.9,0.22,0.27,6.3,0.091,33.28,56.42,0.994,3.33,0.98,11.8,8
red,6.8,0.36,0.12,0.5,0.091,55.65,92.92,0.995,3.25,0.47,9.3,3
red,7.7,0.61,0.3,5.4,0.071,15.94,91.65,0.991,3.16,0.53,11.6,3
red,6.1,0.64,0.41,0.4,0.103,13.13,3.11,0.995,3.24,0.72,10.3,6
red,9.3,0.3,0.68,4.3,0.045,50.98,27.84,0.995,3.17,0.82,10.8,8
red,7.6,1.02,0.51,8.8,0.115,55.68,139.11,0.996,3.36,0.47,11.2,3
red,10.9,0.26,0.4,8.3,0.006,1.45,6.86,0.989,3.15,0.64,9.8,3
red,8.3,0.84,0.08,11.3,0.114,1.97,149.34,0.997,3.32,0.41,10.3,3
red,9.6,0.46,0.27,5.3,0.055,2.37,97.33,0.993,3.44,0.44,10.6,8
red,10.1,0.74,0.65,2.7,0.076,32.7,55.53,0.992,3.12,0.89,13.5,8
red,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.996,3.31,0.48,9.5,5
red,8.5,0.46,0.12,4.4,0.094,17.5,60.84,0.995,3.28,0.73,11.5,8
red,4.7,0.31,0.25,0.6,0.093,51.0,70.0,0.995,3.27,0.76,9.8,7
red,6.1,0.39,0.18,0.4,0.095,28.82,59.65,0.997,3.34,0.37,10.8,5
red,7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.996,3.16,0.49,9.4,5
red,8.9,0.5,0.34,2.0,0.013,33.22,74.96,0.998,3.53,0.84,10.5,6
red,7.0,0.44,0.51,11.2,0.137,44.22,127.46,0.99,3.23,0.66,11.3,3
red,6.7,0.33,0.63,5.7,0.006,5.33,54.55,0.992,3.35,0.43,10.1,3
red,7.6,0.38,0.36,7.0,0.075,28.31,211.8,0.995,3.39,0.51,11.1,3
red,9.6,0.49,0.53,5.4,0.044,36.46,158.89,0.995,3.53,0.6,11.5,8
red,5.1,0.71,0.43,0.6,0.075,29.0,262.0,0.994,3.51,0.6,9.8,6
red,4.9,0.39,0.53,3.5,0.087,31.82,53.36,0.993,3.17,0.52,11.1,8
red,7.5,0.54,0.4,8.0,0.078,2.37,20.39,0.993,3.32,0.69,9.8,8
red,8.6,0.42,0.21,6.5,0.094,2.37,96.27,0.991,3.38,0.46,10.7,8
red,8.7,0.82,0.02,1.2,0.07,36.0,48.0,0.995,3.2,0.58,9.8,5
red,7.5,0.42,0.34,6.8,0.065,4.55,95.25,0.999,3.07,0.72,8.7,3
red,8.0,1.01,0.41,1.6,0.009,55.36,98.93,0.996,3.17,0.34,12.3,3
red,7.9,0.74,0.13,1.8,0.09,14.51,148.05,0.995,3.43,0.68,10.5,5
red,4.3,0.44,0.43,0.4,0.043,0.07,50.09,0.994,3.41,0.57,11.0,5
red,7.3,0.35,0.3,0.4,0.121,5.74,46.0,0.994,2.96,0.75,10.5,5
red,7.4,0.7,0.2,4.6,0.095,25.0,134.0,0.998,3.15,0.46,10.2,6
red,8.1,0.44,0.1,1.0,0.064,30.54,69.36,0.993,3.22,0.94,12.4,8
red,8.2,0.41,0.27,9.1,0.006,1.45,58.83,0.995,3.22,0.44,12.0,3
red,7.2,0.68,0.28,4.6,0.046,13.62,145.98,0.993,3.27,0.49,12.3,3
red,6.8,0.73,0.13,3.7,0.059,15.16,31.64,0.993,3.47,0.56,13.1,8
red,7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.995,3.36,0.54,10.5,6
red,9.3,0.63,0.45,3.9,0.053,14.47,114.17,0.996,3.28,0.51,10.3,3
red,10.2,0.69,0.42,11.4,0.04,34.01,52.44,0.998,3.53,0.57,8.8,3
red,4.5,0.35,0.07,10.6,0.045,34.0,83.0,0.992,3.07,0.58,10.3,4
red,7.4,0.84,0.48,6.2,0.049,27.8,10.19,0.994,3.35,0.53,12.2,8
red,6.1,0.56,0.24,11.1,0.056,39.23,66.12,0.994,3.39,0.85,9.2,6
red,6.7,0.4,0.03,7.1,0.051,58.54,54.85,0.997,3.25,0.72,10.6,8
red,7.8,0.42,0.2,5.0,0.027,35.44,55.36,0.994,3.22,0.71,13.6,8
red,7.6,0.26,0.56,0.5,0.094,9.84,151.29,0.994,3.54,0.62,11.6,8
red,6.9,0.41,0.14,0.7,0.037,2.98,61.21,0.994,3.21,0.69,14.1,8
red,8.4,0.36,0.39,3.5,0.039,32.14,19.23,0.993,3.21,0.84,10.6,8
red,8.9,0.35,0.43,9.2,0.059,28.86,125.84,0.997,3.26,0.39,12.4,8
red,5.8,0.75,0.03,0.4,0.065,0.25,87.69,0.993,3.38,0.56,9.5,6
red,8.8,0.51,0.16,4.3,0.012,2.37,87.7,0.994,3.11,0.72,10.9,8
red,4.6,0.59,0.67,9.7,0.064,29.86,140.64,0.997,3.25,0.26,10.1,3
red,6.8,0.39,0.37,3.6,0.033,40.42,225.14,1.001,3.27,0.32,8.7,3
red,7.2,0.46,0.02,1.3,0.071,10.28,36.8,0.991,3.38,0.54,14.0,8
red,5.7,0.63,0.51,8.7,0.006,13.3,63.46,0.998,3.19,0.62,10.3,3
red,7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.996,3.35,0.54,10.5,5
red,6.0,0.76,0.49,10.7,0.043,26.0,146.0,0.993,3.34,0.38,10.4,5
red,8.4,0.31,0.63,4.6,0.076,41.0,64.0,0.992,3.31,0.74,9.3,6
red,7.7,0.34,0.39,1.3,0.06,4.48,89.05,0.995,3.18,0.73,11.2,8
red,7.5,0.24,0.35,3.5,0.05,10.0,107.0,0.996,3.08,0.51,8.6,3
red,7.6,0.29,0.45,3.8,0.071,15.49,44.83,0.994,3.22,0.79,8.6,8
red,10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.003,3.32,0.64,10.4,6
red,7.7,0.92,0.12,2.2,0.143,7.0,23.0,0.996,3.35,0.65,10.2,7
red,10.6,0.42,0.48,2.7,0.065,5.0,18.0,0.997,3.21,0.87,11.3,6
red,8.1,0.27,0.36,5.0,0.073,32.77,176.99,0.995,3.09,0.58,11.1,3
red,8.2,0.64,0.1,2.1,0.073,25.0,60.0,0.996,3.29,0.75,10.9,6
red,6.0,0.34,0.48,1.7,0.07,15.62,93.61,0.996,3.14,0.7,13.2,8
red,6.3,0.36,0.08,0.5,0.039,51.91,78.95,0.996,3.26,0.8,13.4,8
red,7.2,0.21,0.43,4.5,0.121,0.07,131.12,0.991,3.26,1.01,8.7,5
red,8.4,0.76,0.34,6.6,0.006,44.32,3.11,1.0,3.61,0.55,10.0,6
red,8.4,0.08,0.6,0.7,0.027,2.37,10.19,0.996,3.47,0.78,14.1,8
red,10.2,0.39,0.1,4.8,0.111,45.49,68.09,0.999,3.32,0.67,9.3,3
red,7.8,0.4,0.18,4.5,0.066,38.36,144.14,0.995,3.11,0.57,14.1,8
red,6.2,0.23,0.51,3.3,0.076,11.78,90.65,0.994,2.98,0.86,11.5,8
red,8.3,0.55,0.34,1.9,0.006,0.07,25.56,0.997,3.37,0.63,10.1,5
red,8.3,0.56,0.23,8.0,0.009,30.0,132.0,0.995,3.72,0.62,9.9,7
red,7.8,0.39,0.22,6.0,0.067,40.0,183.0,0.991,3.08,0.75,9.3,7
red,9.1,0.58,0.4,2.4,0.043,25.58,10.19,0.995,3.32,0.7,11.4,8
red,7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.997,3.32,0.81,9.6,6
red,5.8,0.59,0.22,8.3,0.041,17.88,171.93,0.992,3.02,0.42,10.6,3
red,7.7,0.53,0.5,3.3,0.05,14.89,10.19,0.996,2.87,0.65,13.0,8
red,6.1,0.53,0.52,0.6,0.018,23.0,71.0,0.989,3.38,0.81,11.0,7
red,6.3,0.33,0.12,5.6,0.048,25.37,49.21,0.999,3.43,0.59,11.0,5
red,7.6,0.42,0.38,4.1,0.078,15.82,92.07,0.997,3.36,0.31,9.1,5
red,6.9,0.53,0.27,2.7,0.066,31.93,163.02,0.994,3.21,0.7,11.1,5
red,6.0,0.85,0.08,1.8,0.065,6.08,82.62,0.991,3.17,0.35,10.9,3
red,6.1,0.58,0.48,6.9,0.057,26.05,115.11,0.993,3.27,0.36,12.4,3
red,4.7,0.48,0.37,11.6,0.044,50.0,161.0,0.994,3.27,0.64,10.0,5
red,4.9,0.06,0.13,5.1,0.006,21.44,6.86,0.995,3.3,0.76,10.3,3
red,7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.996,3.4,0.69,10.9,5
red,10.0,0.29,0.31,5.4,0.1,49.76,65.47,0.993,3.3,0.45,10.5,6
red,7.9,0.66,0.39,11.4,0.04,1.67,85.26,0.994,3.3,0.51,10.6,3
red,8.5,0.54,0.48,3.6,0.037,53.92,81.48,0.994,3.35,0.32,11.1,5
red,7.8,0.27,0.29,1.5,0.019,51.66,9.11,1.001,3.46,0.58,8.9,6
red,8.2,0.36,0.28,7.9,0.109,19.82,111.27,0.998,3.14,0.33,9.9,3
red,6.4,1.58,0.34,8.6,0.012,36.72,86.93,0.994,3.55,0.74,10.4,3
red,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.996,3.38,0.52,10.1,5
red,5.9,0.6,0.42,10.9,0.113,41.94,112.26,0.994,3.47,0.37,11.9,3
red,8.7,0.3,0.35,0.4,0.003,41.45,135.1,0.997,3.44,0.52,9.6,5
red,6.4,0.78,0.24,0.5,0.034,28.26,8.47,0.989,3.32,0.59,10.1,3
red,6.5,0.69,0.43,3.9,0.068,17.46,127.65,0.998,3.04,0.55,9.9,5
red,7.0,0.48,0.37,5.1,0.099,34.02,37.07,0.994,3.34,0.43,9.8,4
red,7.7,0.64,0.3,6.2,0.06,20.0,69.0,0.994,3.22,0.52,11.2,6
red,7.8,0.19,0.02,0.5,0.056,16.86,94.19,0.995,3.41,0.74,11.6,8
red,8.2,0.17,0.09,1.3,0.022,47.07,76.87,0.995,2.87,0.47,11.5,8
red,5.9,0.68,0.0,5.1,0.073,6.16,97.71,0.998,3.17,0.58,10.9,3
red,7.6,0.44,0.59,9.4,0.146,41.0,128.0,0.996,3.17,0.5,12.2,6
red,6.7,0.34,0.4,3.1,0.092,40.19,16.42,0.999,3.25,0.91,11.1,8
red,5.5,0.6,0.4,6.8,0.017,31.87,121.13,0.994,3.39,0.72,9.7,3
red,7.6,0.08,0.36,5.6,0.087,22.0,116.0,0.996,3.07,0.3,10.7,6
red,8.1,0.44,0.06,9.3,0.16,18.1,94.34,0.999,3.18,0.65,10.3,3
red,6.8,0.21,0.13,11.6,0.01,20.93,91.67,0.997,3.12,0.43,11.1,3
red,5.0,0.53,0.5,4.3,0.118,38.01,51.17,0.993,3.03,0.58,10.9,3
red,7.5,0.68,0.07,2.5,0.058,5.0,9.0,0.996,3.38,0.55,10.9,4
red,8.3,0.57,0.16,6.4,0.039,42.6,10.19,0.995,3.55,0.83,12.2,8
red,7.7,0.51,0.2,4.5,0.058,32.41,13.37,0.995,3.28,0.92,12.4,8
red,8.2,0.16,0.14,5.9,0.021,2.67,7.34,0.995,3.25,0.53,11.6,3
red,9.4,0.72,0.38,4.4,0.073,2.6,28.57,0.999,3.55,0.36,10.9,3
red,10.3,0.25,0.24,5.1,0.051,1.45,108.61,0.997,3.21,0.51,10.1,3
red,8.4,0.06,0.44,6.8,0.06,11.67,105.23,0.997,3.03,0.62,12.1,3
red,9.8,0.39,0.43,1.6,0.068,5.0,11.0,0.995,3.19,0.46,11.4,5
red,8.8,0.31,0.21,3.5,0.088,20.25,132.14,0.994,3.46,0.6,8.6,3
red,6.9,0.65,0.33,4.4,0.01,18.18,6.86,0.993,3.13,0.54,10.4,3
red,10.1,0.47,0.39,8.3,0.051,7.42,17.55,0.992,3.15,0.44,9.1,3
red,7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,5
red,8.6,0.54,0.62,11.8,0.104,29.33,15.43,0.997,3.61,0.71,9.8,3
red,11.1,0.4,0.28,0.4,0.079,16.98,33.87,0.998,3.42,0.64,10.2,5
red,7.9,0.36,0.26,0.8,0.079,8.5,25.39,0.994,3.08,0.48,10.8,8
red,8.7,0.17,0.34,4.0,0.03,28.14,88.9,0.998,3.18,0.39,10.2,3
red,9.9,0.52,0.48,2.9,0.012,40.3,144.25,0.995,3.34,0.5,8.9,5
red,8.4,0.17,0.68,0.5,0.054,26.14,79.59,0.992,3.13,0.52,12.5,8
red,4.9,0.5,0.14,3.8,0.088,8.76,41.89,0.992,3.19,1.1,12.8,8
red,5.9,0.43,0.47,10.3,0.195,25.7,102.75,0.991,3.09,0.64,12.2,3
red,8.7,0.25,0.22,4.9,0.036,39.42,137.68,0.994,3.38,0.5,12.1,6
red,8.0,0.84,0.41,11.2,0.09,49.81,225.14,0.995,3.38,0.26,11.1,3
red,6.1,0.66,0.11,4.9,0.035,23.32,59.33,0.994,3.33,0.51,9.1,6
red,7.4,0.27,0.52,0.6,0.059,27.49,145.41,0.995,3.22,0.77,8.6,8
red,7.3,0.65,0.13,5.2,0.106,35.84,47.52,0.992,3.28,0.59,8.5,3
