type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_binned,Predicted_Quality
1,6.6,0.22,0.37,15.4,0.035,62.0,153.0,0.998,3.02,0.4,9.3,5,Medium Quality,Medium Quality
1,6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.998,3.26,0.56,9.6,5,Medium Quality,Medium Quality
0,7.2,0.08,0.33,6.4,0.023,39.0,111.0,0.993,3.1,0.72,9.7,5,Medium Quality,Medium Quality
1,7.3,0.31,0.25,6.6,0.032,30.0,138.0,0.992,2.9,0.37,11.1,5,Medium Quality,High Quality
1,6.5,0.3,0.27,4.0,0.038,37.0,97.0,0.99,3.2,0.6,12.6,8,High Quality,Medium Quality
1,6.2,0.45,0.73,7.2,0.099,47.0,202.0,0.996,3.21,0.43,9.2,5,Medium Quality,Medium Quality
1,7.9,0.35,0.36,1.6,0.038,11.0,124.0,0.993,3.25,0.48,11.0,5,Medium Quality,Medium Quality
1,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.995,3.14,0.53,9.7,5,Medium Quality,Medium Quality
0,6.6,0.16,0.2,7.8,0.009,14.0,122.0,0.997,3.22,0.53,10.4,4,Medium Quality,Medium Quality
1,6.2,0.23,0.36,17.2,0.039,37.0,130.0,0.999,3.23,0.43,8.8,6,Medium Quality,Medium Quality
0,6.4,0.27,0.06,5.0,0.013,56.0,189.0,0.996,3.0,0.43,12.4,5,Medium Quality,Medium Quality
1,8.3,0.16,0.48,1.7,0.057,31.0,98.0,0.994,3.15,0.41,10.3,6,Medium Quality,Medium Quality
0,8.1,0.38,0.21,9.1,0.061,27.0,154.0,0.993,3.22,0.56,11.5,7,Medium Quality,Medium Quality
1,5.7,0.1,0.31,0.6,0.043,39.0,57.0,0.989,2.86,0.43,9.5,4,Medium Quality,Medium Quality
0,12.0,0.45,0.55,2.0,0.073,25.0,49.0,1.0,3.1,0.76,10.3,6,Medium Quality,Medium Quality
1,7.0,0.29,0.35,1.4,0.036,42.0,109.0,0.991,3.31,0.62,11.6,6,Medium Quality,High Quality
1,7.5,0.32,0.32,13.6,0.009,24.0,148.0,0.996,3.11,0.37,9.3,6,Medium Quality,Medium Quality
1,7.2,0.39,0.3,7.6,0.031,50.0,16.0,0.993,3.15,0.44,11.3,7,Medium Quality,High Quality
1,6.9,0.21,0.3,6.8,0.068,35.0,69.0,0.995,3.27,0.51,10.6,7,Medium Quality,Medium Quality
1,10.1,0.17,0.46,6.9,0.06,58.0,134.0,0.992,3.37,0.47,9.0,6,Medium Quality,Medium Quality
1,5.6,0.32,0.32,8.3,0.043,32.0,105.0,0.993,3.24,0.47,11.2,6,Medium Quality,High Quality
1,8.6,0.44,0.3,5.2,0.059,44.0,138.0,0.992,3.16,0.52,10.3,5,Medium Quality,Medium Quality
1,9.6,0.54,0.1,2.5,0.063,55.0,197.0,0.995,2.89,0.7,9.6,4,Medium Quality,Low Quality
0,7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.996,3.43,0.54,10.0,4,Medium Quality,Medium Quality
0,9.0,0.48,0.32,2.8,0.084,21.0,122.0,0.998,3.32,0.62,9.4,5,Medium Quality,Medium Quality
1,6.9,0.22,0.32,5.8,0.041,20.0,119.0,0.993,3.17,0.55,11.2,6,Medium Quality,Medium Quality
1,8.2,0.36,0.29,7.6,0.035,37.0,122.0,0.994,3.16,0.34,12.0,5,Medium Quality,High Quality
1,7.3,0.42,0.38,6.8,0.045,29.0,122.0,0.992,3.19,0.37,12.6,7,Medium Quality,High Quality
0,6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.995,3.38,0.83,10.3,6,Medium Quality,Medium Quality
0,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.996,3.38,0.52,10.1,5,Medium Quality,Medium Quality
0,8.7,0.36,0.31,2.8,0.04,45.0,103.0,0.997,3.46,0.56,11.6,7,Medium Quality,Medium Quality
0,8.2,0.54,0.34,4.9,0.11,39.0,99.0,0.996,3.15,0.53,11.4,6,Medium Quality,Medium Quality
0,7.1,0.65,0.18,1.8,0.07,13.0,40.0,0.997,3.44,0.6,9.1,5,Medium Quality,Medium Quality
1,7.2,0.15,0.39,1.8,0.043,21.0,159.0,0.995,3.52,0.47,10.0,5,Medium Quality,Medium Quality
1,5.5,0.51,0.23,6.8,0.064,1.0,121.0,0.999,3.34,0.41,9.1,6,Medium Quality,Medium Quality
1,8.0,0.42,0.36,5.0,0.037,34.0,101.0,0.992,3.13,0.57,12.3,7,Medium Quality,High Quality
0,8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.996,3.21,0.75,10.2,6,Medium Quality,Medium Quality
1,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.995,3.33,0.62,9.4,6,Medium Quality,Medium Quality
1,6.3,0.47,0.15,0.6,0.081,43.0,43.0,0.999,3.06,0.4,11.7,5,Medium Quality,Medium Quality
1,5.0,0.55,0.14,8.3,0.032,35.0,164.0,0.992,3.53,0.51,12.5,8,High Quality,Medium Quality
0,7.2,0.37,0.15,7.7,0.016,39.0,6.0,0.997,3.42,0.54,11.2,5,Medium Quality,Medium Quality
0,6.7,0.86,0.02,1.9,0.064,29.0,38.0,0.995,3.3,0.56,10.8,6,Medium Quality,Medium Quality
1,6.6,0.39,0.39,11.9,0.057,51.0,221.0,0.999,3.26,0.51,8.9,6,Medium Quality,Medium Quality
1,6.2,0.33,0.41,16.8,0.037,58.0,173.0,0.999,3.25,0.57,9.4,6,Medium Quality,Medium Quality
1,9.2,0.19,0.42,2.0,0.047,16.0,104.0,0.995,3.09,0.66,10.0,4,Medium Quality,Medium Quality
0,8.7,0.44,0.34,8.3,0.024,15.0,141.0,0.992,2.99,0.6,11.1,6,Medium Quality,Medium Quality
1,6.3,0.2,0.37,11.8,0.045,58.0,130.0,0.995,3.2,0.35,10.8,5,Medium Quality,Medium Quality
0,7.6,0.31,0.3,9.2,0.102,33.0,103.0,0.993,3.38,0.56,10.9,4,Medium Quality,Low Quality
1,7.1,0.22,0.26,1.6,0.057,35.0,144.0,0.993,3.04,0.67,12.8,5,Medium Quality,High Quality
0,7.4,0.34,0.31,4.3,0.059,48.0,6.0,0.994,3.0,0.42,10.9,6,Medium Quality,Medium Quality
0,7.0,0.08,0.0,3.9,0.081,21.0,104.0,0.993,3.41,0.56,10.2,4,Medium Quality,Medium Quality
0,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.999,3.16,0.63,8.4,3,Low Quality,Medium Quality
0,7.0,0.78,0.08,2.0,0.093,10.0,19.0,0.996,3.4,0.47,10.0,5,Medium Quality,Medium Quality
1,9.0,0.33,0.55,8.0,0.105,42.0,134.0,0.995,3.31,0.4,11.8,6,Medium Quality,Medium Quality
1,6.2,0.4,0.16,15.0,0.102,64.0,137.0,0.994,3.2,0.64,9.9,7,Medium Quality,Medium Quality
1,7.0,0.57,0.08,3.6,0.04,20.0,208.0,0.996,3.21,0.45,11.0,5,Medium Quality,Low Quality
1,8.4,0.19,0.42,1.6,0.047,9.0,101.0,0.994,3.06,0.65,11.1,4,Medium Quality,Medium Quality
1,6.5,0.14,0.32,2.7,0.037,18.0,89.0,0.992,3.4,0.74,11.5,7,Medium Quality,Medium Quality
0,4.7,0.17,0.59,7.2,0.014,47.0,76.0,0.995,3.42,0.62,11.2,4,Medium Quality,Medium Quality
0,9.0,0.4,0.41,2.0,0.058,15.0,40.0,0.994,3.22,0.6,12.2,6,Medium Quality,High Quality
0,9.5,0.42,0.11,8.4,0.046,62.0,158.0,0.992,3.14,0.67,9.2,6,Medium Quality,Medium Quality
1,6.7,0.3,0.74,5.0,0.038,35.0,157.0,0.994,3.21,0.46,9.9,5,Medium Quality,Medium Quality
0,7.1,0.54,0.23,1.2,0.069,15.0,166.0,0.994,2.99,0.74,11.4,5,Medium Quality,High Quality
1,7.4,0.29,0.28,10.2,0.032,43.0,138.0,0.995,3.1,0.47,10.6,6,Medium Quality,Medium Quality
0,8.4,0.41,0.34,5.3,0.088,6.0,223.0,0.995,3.31,0.56,10.8,3,Low Quality,Low Quality
1,6.9,0.46,0.21,6.3,0.088,7.0,114.0,0.991,3.08,0.35,12.3,6,Medium Quality,High Quality
1,5.2,0.16,0.34,0.8,0.029,26.0,77.0,0.992,3.25,0.51,10.1,6,Medium Quality,Medium Quality
0,8.3,0.41,0.6,5.1,0.011,9.0,200.0,0.994,3.5,0.72,11.1,3,Low Quality,Low Quality
1,6.3,0.29,0.31,7.7,0.062,43.0,107.0,0.994,3.42,0.65,8.0,7,Medium Quality,Medium Quality
1,7.5,0.23,0.3,1.2,0.03,27.0,80.0,0.992,3.05,0.68,10.5,5,Medium Quality,Medium Quality
1,7.3,0.21,0.49,1.8,0.038,44.0,152.0,0.991,3.32,0.44,12.6,7,Medium Quality,Medium Quality
1,7.0,0.17,0.33,4.0,0.034,17.0,127.0,0.993,3.19,0.39,10.6,7,Medium Quality,Medium Quality
0,5.0,0.74,0.0,1.2,0.041,16.0,46.0,0.993,4.01,0.59,12.5,6,Medium Quality,Medium Quality
1,7.5,0.14,0.3,0.6,0.062,32.0,159.0,0.994,3.12,0.59,9.7,7,Medium Quality,Medium Quality
0,8.0,0.39,0.3,1.9,0.074,32.0,84.0,0.997,3.39,0.61,9.0,5,Medium Quality,Medium Quality
1,6.8,0.46,0.26,2.7,0.042,28.0,83.0,0.991,3.38,0.51,12.0,8,High Quality,High Quality
0,8.5,0.18,0.51,1.8,0.071,45.0,88.0,0.995,3.33,0.76,11.8,7,Medium Quality,High Quality
1,7.7,0.28,0.35,15.3,0.056,31.0,117.0,1.0,3.27,0.5,9.6,5,Medium Quality,Medium Quality
1,6.0,0.21,0.38,0.8,0.02,22.0,98.0,0.989,3.26,0.32,11.8,6,Medium Quality,Medium Quality
0,7.6,0.52,0.12,3.0,0.067,12.0,53.0,0.997,3.36,0.57,9.1,5,Medium Quality,Medium Quality
1,9.4,0.4,0.31,5.4,0.009,30.0,77.0,0.991,3.41,0.44,10.4,4,Medium Quality,Medium Quality
1,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.994,3.18,0.47,9.4,5,Medium Quality,Medium Quality
1,7.4,0.31,0.48,14.2,0.042,62.0,204.0,0.998,3.06,0.59,9.4,5,Medium Quality,Medium Quality
1,5.7,0.34,0.34,1.0,0.04,13.0,174.0,0.992,3.27,0.66,10.0,5,Medium Quality,Medium Quality
1,7.0,0.46,0.2,16.7,0.046,50.0,184.0,0.999,3.08,0.56,9.4,5,Medium Quality,Medium Quality
0,6.3,0.36,0.19,3.2,0.075,15.0,39.0,0.996,3.56,0.52,12.7,6,Medium Quality,Medium Quality
1,6.6,0.64,0.28,4.4,0.032,19.0,78.0,0.99,3.11,0.62,12.9,6,Medium Quality,Medium Quality
1,5.6,0.34,0.1,1.3,0.031,20.0,68.0,0.991,3.36,0.51,11.2,7,Medium Quality,Medium Quality
1,6.0,0.44,0.26,3.1,0.053,57.0,128.0,0.99,3.22,0.39,12.7,6,Medium Quality,Medium Quality
0,8.9,0.4,0.51,2.6,0.052,13.0,27.0,0.995,3.32,0.9,13.4,7,Medium Quality,High Quality
1,6.5,0.33,0.3,3.8,0.036,34.0,88.0,0.99,3.25,0.63,12.5,7,Medium Quality,Medium Quality
1,7.5,0.28,0.33,7.7,0.048,42.0,180.0,0.997,3.37,0.59,10.1,6,Medium Quality,Medium Quality
1,9.4,0.37,0.32,4.4,0.035,5.0,163.0,0.996,3.1,0.38,9.1,6,Medium Quality,Medium Quality
1,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,7,Medium Quality,High Quality
0,8.2,0.31,0.34,4.1,0.009,15.0,153.0,0.996,3.27,0.63,12.3,6,Medium Quality,Medium Quality
0,8.3,0.22,0.24,1.7,0.067,12.0,86.0,0.994,3.26,0.56,8.8,5,Medium Quality,Medium Quality
1,5.6,0.56,0.3,3.9,0.079,25.0,173.0,0.998,3.23,0.52,10.6,5,Medium Quality,Low Quality
0,7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.996,3.33,0.56,10.0,6,Medium Quality,Medium Quality
1,7.5,0.33,0.39,12.4,0.065,29.0,119.0,0.997,3.16,0.39,9.4,5,Medium Quality,Medium Quality
1,6.8,0.35,0.53,10.1,0.053,37.0,151.0,0.996,3.07,0.4,9.4,5,Medium Quality,Medium Quality
1,8.8,0.2,0.43,15.0,0.053,60.0,184.0,1.001,3.28,0.79,8.8,6,Medium Quality,Medium Quality
1,6.9,0.4,0.37,8.9,0.053,36.0,148.0,0.996,3.16,0.5,9.3,5,Medium Quality,Medium Quality
1,6.3,0.52,0.46,3.8,0.009,19.0,137.0,0.997,3.17,0.43,12.6,4,Medium Quality,Medium Quality
1,5.8,0.4,0.4,7.6,0.042,7.0,21.0,0.997,3.09,0.43,8.8,3,Low Quality,Low Quality
0,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.996,3.28,0.59,9.5,5,Medium Quality,Medium Quality
0,10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.998,3.22,0.78,10.0,6,Medium Quality,Medium Quality
1,6.9,0.19,0.6,4.0,0.037,6.0,122.0,0.993,2.92,0.59,10.4,4,Medium Quality,Medium Quality
1,6.8,0.37,0.67,1.5,0.175,16.0,98.0,0.992,3.06,0.56,10.3,6,Medium Quality,Low Quality
1,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.996,3.09,0.5,9.6,6,Medium Quality,Medium Quality
1,7.6,0.2,0.36,1.9,0.043,24.0,111.0,0.992,3.29,0.54,11.3,6,Medium Quality,Medium Quality
1,7.6,0.19,0.42,1.5,0.044,6.0,114.0,0.991,3.04,0.74,12.8,6,Medium Quality,Medium Quality
1,7.4,0.09,0.31,6.8,0.009,1.0,172.0,0.994,3.06,0.51,8.4,6,Medium Quality,Medium Quality
1,7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.992,3.25,0.4,11.3,6,Medium Quality,Medium Quality
0,7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.996,3.16,0.49,9.4,5,Medium Quality,Medium Quality
1,7.3,0.26,0.36,5.2,0.04,31.0,141.0,0.993,3.16,0.59,11.0,6,Medium Quality,Medium Quality
0,7.1,0.28,0.34,7.1,0.054,50.0,65.0,0.993,3.27,0.44,9.7,5,Medium Quality,Medium Quality
1,8.5,0.29,0.49,4.9,0.092,39.0,159.0,0.999,3.3,0.56,12.3,6,Medium Quality,Medium Quality
1,7.1,0.26,0.19,8.2,0.051,53.0,187.0,0.996,3.16,0.52,9.7,5,Medium Quality,Medium Quality
1,8.3,0.22,0.34,1.1,0.043,20.0,116.0,0.993,3.0,0.47,10.2,6,Medium Quality,Medium Quality
0,6.3,0.47,0.17,7.2,0.027,34.0,231.0,0.995,3.27,0.54,12.7,4,Medium Quality,Medium Quality
0,10.8,0.26,0.45,3.3,0.06,20.0,49.0,0.997,3.13,0.54,9.6,5,Medium Quality,Medium Quality
1,7.2,0.23,0.82,1.3,0.149,70.0,109.0,0.993,2.93,0.42,9.2,6,Medium Quality,Medium Quality
1,6.8,0.19,0.34,1.9,0.04,41.0,108.0,0.99,3.25,0.45,12.9,6,Medium Quality,Medium Quality
1,8.0,0.23,0.41,1.1,0.048,35.0,150.0,0.992,3.09,0.47,11.2,5,Medium Quality,Medium Quality
1,8.6,0.24,0.33,5.4,0.053,20.0,104.0,0.995,3.48,0.56,11.6,5,Medium Quality,Medium Quality
1,7.3,0.36,0.62,7.1,0.033,48.0,185.0,0.995,3.14,0.62,10.6,6,Medium Quality,Low Quality
0,7.6,0.08,0.11,3.2,0.073,48.0,110.0,0.994,3.19,0.86,11.4,5,Medium Quality,High Quality
1,5.7,0.26,0.28,6.9,0.036,46.0,150.0,0.993,3.36,0.44,10.8,7,Medium Quality,Medium Quality
1,6.0,0.32,0.3,1.3,0.025,18.0,112.0,0.988,3.07,0.64,13.3,7,Medium Quality,Medium Quality
1,5.5,0.48,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,4,Medium Quality,Medium Quality
1,9.7,0.13,0.4,13.7,0.046,1.0,43.0,0.996,3.15,0.51,10.7,5,Medium Quality,Medium Quality
0,5.9,0.61,0.08,2.1,0.071,16.0,24.0,0.994,3.56,0.77,11.1,6,Medium Quality,Medium Quality
1,6.1,0.41,0.2,12.6,0.032,54.0,136.0,0.995,2.91,0.43,10.6,6,Medium Quality,Medium Quality
1,7.3,0.41,0.47,0.6,0.009,33.0,145.0,0.995,3.43,0.78,11.0,4,Medium Quality,Medium Quality
1,6.0,0.2,0.26,1.1,0.033,38.0,67.0,0.99,3.14,0.38,11.5,6,Medium Quality,Medium Quality
0,8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.997,3.3,0.62,12.1,7,Medium Quality,High Quality
1,6.6,0.33,0.32,15.6,0.054,62.0,227.0,0.997,3.25,0.56,10.4,5,Medium Quality,Medium Quality
0,7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.997,3.31,0.64,10.3,5,Medium Quality,Medium Quality
0,9.4,0.62,0.28,3.2,0.087,18.0,72.0,1.0,3.31,0.53,9.7,5,Medium Quality,Medium Quality
0,8.3,0.78,0.1,2.6,0.081,45.0,87.0,0.998,3.48,0.53,10.0,5,Medium Quality,Medium Quality
1,5.7,0.37,0.3,1.1,0.029,24.0,88.0,0.989,3.18,0.39,11.7,6,Medium Quality,Medium Quality
1,5.6,0.13,0.58,4.8,0.019,16.0,84.0,0.992,3.22,0.54,9.3,6,Medium Quality,Medium Quality
1,6.4,0.22,0.34,1.4,0.023,56.0,115.0,0.99,3.18,0.7,11.7,6,Medium Quality,Medium Quality
1,8.0,0.57,0.56,5.6,0.039,29.0,104.0,0.994,3.32,0.55,9.3,5,Medium Quality,Medium Quality
1,5.8,0.22,0.29,1.3,0.036,25.0,68.0,0.989,3.24,0.35,12.6,6,Medium Quality,Medium Quality
1,4.6,0.44,0.21,2.8,0.009,67.0,124.0,0.993,2.72,0.75,8.0,4,Medium Quality,Medium Quality
1,8.2,0.22,0.49,9.6,0.037,53.0,154.0,0.995,3.02,0.33,10.6,6,Medium Quality,Medium Quality
1,6.4,0.21,0.44,7.4,0.045,47.0,182.0,0.996,3.24,0.46,9.1,5,Medium Quality,Medium Quality
1,5.9,0.18,0.29,4.6,0.032,68.0,137.0,0.992,3.21,0.38,11.3,6,Medium Quality,Medium Quality
1,4.8,0.17,0.28,2.9,0.03,22.0,111.0,0.99,3.38,0.34,11.3,7,Medium Quality,Medium Quality
1,6.2,0.3,0.2,9.3,0.055,48.0,35.0,0.996,3.29,0.74,10.7,6,Medium Quality,Medium Quality
1,6.4,0.29,0.44,3.6,0.197,75.0,183.0,0.994,3.01,0.38,9.1,5,Medium Quality,Low Quality
1,9.8,0.16,0.46,1.8,0.046,23.0,130.0,0.996,3.04,0.67,9.6,5,Medium Quality,Medium Quality
0,7.5,0.71,0.0,1.6,0.092,22.0,31.0,0.996,3.38,0.58,10.0,6,Medium Quality,Medium Quality
1,6.0,0.26,0.26,2.2,0.035,10.0,72.0,0.989,3.11,0.48,12.2,6,Medium Quality,Medium Quality
0,7.9,0.6,0.15,7.6,0.037,46.0,164.0,0.997,3.14,0.52,10.2,5,Medium Quality,Low Quality
1,7.3,0.26,0.44,4.0,0.009,10.0,145.0,0.989,3.14,0.41,11.8,5,Medium Quality,Medium Quality
1,4.4,0.54,0.09,5.1,0.038,52.0,97.0,0.99,3.41,0.4,12.2,7,Medium Quality,Medium Quality
1,7.4,0.61,0.75,4.0,0.117,31.0,110.0,0.995,3.36,0.37,9.9,6,Medium Quality,Medium Quality
1,4.5,0.39,0.5,8.5,0.029,1.0,46.0,0.997,2.98,0.64,10.9,6,Medium Quality,Low Quality
1,6.8,0.2,0.36,1.6,0.028,7.0,46.0,0.992,3.21,0.6,10.9,6,Medium Quality,Medium Quality
1,7.5,0.31,0.51,14.8,0.039,62.0,204.0,0.998,3.06,0.6,9.5,5,Medium Quality,Medium Quality
1,6.4,0.5,0.2,2.4,0.059,19.0,112.0,0.993,3.18,0.4,9.2,6,Medium Quality,Medium Quality
1,8.0,0.24,0.47,10.7,0.009,25.0,145.0,0.996,3.24,0.5,11.5,4,Medium Quality,Medium Quality
1,7.4,0.2,0.29,1.7,0.047,16.0,100.0,0.992,3.28,0.45,10.6,6,Medium Quality,Medium Quality
1,6.3,0.36,0.2,2.0,0.048,48.0,191.0,0.993,3.17,0.51,9.6,5,Medium Quality,Medium Quality
0,8.6,0.34,0.09,0.6,0.047,40.0,182.0,0.996,3.2,0.5,11.6,6,Medium Quality,Medium Quality
1,6.3,0.22,0.33,1.7,0.041,67.0,164.0,0.993,3.32,0.56,10.4,6,Medium Quality,Medium Quality
1,7.0,0.3,0.17,6.9,0.009,50.0,47.0,0.992,3.21,0.61,10.7,6,Medium Quality,Medium Quality
1,8.4,0.31,0.31,1.0,0.021,52.0,148.0,0.99,2.93,0.32,11.5,5,Medium Quality,Medium Quality
0,5.1,0.46,0.27,0.6,0.066,15.0,106.0,0.994,3.32,0.6,11.3,5,Medium Quality,Medium Quality
1,5.9,0.22,0.45,22.6,0.12,55.0,122.0,0.996,3.1,0.35,12.8,5,Medium Quality,Low Quality
1,5.0,0.26,0.22,2.7,0.043,46.0,153.0,0.992,3.75,0.76,11.3,6,Medium Quality,Medium Quality
1,7.7,0.17,0.1,5.2,0.048,66.0,97.0,1.0,3.35,0.62,9.9,5,Medium Quality,Medium Quality
0,3.8,0.35,0.0,4.2,0.074,54.0,161.0,0.993,3.3,0.49,12.1,5,Medium Quality,Medium Quality
1,7.0,0.34,0.3,1.8,0.045,44.0,142.0,0.991,2.99,0.45,10.8,6,Medium Quality,Medium Quality
0,8.3,0.43,0.49,8.9,0.042,66.0,156.0,0.993,3.13,0.64,10.2,4,Medium Quality,Medium Quality
1,6.3,0.41,0.22,7.3,0.035,23.0,117.0,0.992,3.2,0.39,11.9,7,Medium Quality,High Quality
1,6.7,0.22,0.33,1.2,0.036,36.0,86.0,0.991,3.1,0.76,11.4,6,Medium Quality,Medium Quality
0,5.4,0.61,0.45,4.7,0.066,23.0,165.0,0.992,2.99,0.62,10.5,5,Medium Quality,Low Quality
1,7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.993,3.28,0.49,11.8,6,Medium Quality,Medium Quality
1,6.8,0.29,0.32,1.8,0.032,18.0,130.0,0.991,3.05,0.62,11.2,6,Medium Quality,Medium Quality
1,7.7,0.28,0.58,12.1,0.046,60.0,177.0,0.998,3.08,0.46,8.9,5,Medium Quality,Medium Quality
1,7.4,0.25,0.2,0.6,0.066,59.0,235.0,0.998,3.18,0.47,11.4,5,Medium Quality,Medium Quality
0,7.0,0.66,0.16,2.1,0.074,8.0,25.0,0.996,3.37,0.55,9.7,5,Medium Quality,Medium Quality
1,6.9,0.37,0.23,9.5,0.057,54.0,166.0,0.996,3.23,0.42,10.0,5,Medium Quality,Medium Quality
1,7.6,0.1,0.33,1.0,0.031,33.0,93.0,0.991,3.06,0.68,11.2,6,Medium Quality,Medium Quality
1,5.5,0.16,0.22,4.5,0.03,30.0,102.0,0.994,3.24,0.36,9.4,6,Medium Quality,Medium Quality
0,7.6,0.08,0.42,0.6,0.028,31.0,84.0,0.99,3.1,0.58,10.3,6,Medium Quality,Medium Quality
0,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,Medium Quality,Medium Quality
1,6.3,0.29,0.14,7.0,0.045,50.0,177.0,0.996,3.23,0.42,9.0,5,Medium Quality,Medium Quality
0,8.6,0.33,0.53,6.3,0.022,31.0,85.0,0.99,3.2,0.74,10.2,5,Medium Quality,Medium Quality
1,4.5,0.55,0.48,4.1,0.036,45.0,23.0,1.0,3.09,0.39,8.2,5,Medium Quality,Low Quality
0,5.2,0.64,0.0,2.2,0.08,15.0,28.0,0.994,3.78,0.61,12.5,6,Medium Quality,Medium Quality
1,6.4,0.12,0.49,6.4,0.042,49.0,161.0,0.994,3.34,0.44,10.4,6,Medium Quality,Medium Quality
1,6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,5,Medium Quality,Medium Quality
1,7.1,0.31,0.38,1.2,0.036,10.0,124.0,0.992,3.14,0.44,9.9,6,Medium Quality,Medium Quality
1,8.6,0.16,0.49,7.3,0.043,9.0,63.0,0.995,3.13,0.59,10.5,6,Medium Quality,Medium Quality
1,6.6,0.28,0.3,12.9,0.033,31.0,177.0,0.995,3.12,0.39,11.2,6,Medium Quality,Medium Quality
1,6.3,0.39,0.35,5.9,0.04,82.0,260.0,0.994,3.12,0.66,10.1,5,Medium Quality,Low Quality
1,6.1,0.24,0.25,1.6,0.044,24.0,115.0,0.992,3.39,0.59,10.9,6,Medium Quality,Medium Quality
1,7.8,0.23,0.27,7.9,0.072,54.0,180.0,0.996,3.04,0.53,10.7,6,Medium Quality,Medium Quality
0,8.6,0.42,0.19,5.0,0.073,13.0,210.0,0.989,3.06,0.68,10.5,6,Medium Quality,Low Quality
1,7.1,0.34,0.49,1.5,0.027,26.0,126.0,0.99,3.3,0.33,12.2,7,Medium Quality,Medium Quality
1,6.7,0.14,0.41,4.8,0.103,59.0,185.0,0.992,3.28,0.29,10.5,6,Medium Quality,Low Quality
1,7.0,0.41,0.14,10.4,0.037,18.0,119.0,0.996,3.38,0.45,10.0,5,Medium Quality,Medium Quality
0,13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.999,3.02,0.93,12.0,6,Medium Quality,High Quality
1,6.1,0.26,0.51,2.2,0.05,61.0,154.0,0.993,3.08,0.6,9.8,6,Medium Quality,Medium Quality
1,7.0,0.18,0.49,5.3,0.04,34.0,125.0,0.991,3.24,0.4,12.2,6,Medium Quality,High Quality
1,5.4,0.23,0.36,1.5,0.03,74.0,121.0,0.99,3.24,0.99,12.1,7,Medium Quality,High Quality
1,5.5,0.49,0.45,10.6,0.043,19.0,231.0,0.994,3.34,0.52,8.9,6,Medium Quality,Medium Quality
0,7.8,0.55,0.12,2.5,0.068,11.0,35.0,0.996,3.34,0.61,11.6,6,Medium Quality,Medium Quality
1,6.5,0.36,0.36,6.7,0.185,52.0,151.0,0.995,3.17,0.42,9.3,5,Medium Quality,Medium Quality
1,6.8,0.22,0.32,5.9,0.054,40.0,152.0,0.994,3.2,0.57,10.8,6,Medium Quality,Medium Quality
1,7.7,0.24,0.27,1.8,0.051,52.0,190.0,0.993,3.23,0.5,10.8,6,Medium Quality,Medium Quality
0,8.0,0.12,0.18,6.3,0.033,32.0,196.0,0.993,3.18,0.6,9.5,5,Medium Quality,Low Quality
1,7.6,0.27,0.32,1.2,0.043,23.0,72.0,0.992,3.06,0.68,10.5,5,Medium Quality,Medium Quality
1,6.5,0.18,0.33,1.4,0.029,35.0,138.0,0.991,3.36,0.6,11.5,7,Medium Quality,Medium Quality
0,6.8,0.59,0.06,6.0,0.06,11.0,18.0,0.996,3.41,0.59,10.8,7,Medium Quality,Medium Quality
1,6.0,0.29,0.25,1.4,0.033,30.0,114.0,0.988,3.08,0.43,13.2,6,Medium Quality,Medium Quality
1,6.1,0.36,0.16,6.4,0.037,36.0,198.0,0.994,3.17,0.62,9.9,6,Medium Quality,Medium Quality
1,9.6,0.25,0.36,16.0,0.112,41.0,94.0,0.999,3.3,0.46,11.1,5,Medium Quality,Low Quality
1,6.8,0.17,0.36,1.4,0.036,38.0,108.0,0.99,3.19,0.66,12.0,6,Medium Quality,Medium Quality
1,6.6,0.24,0.3,11.3,0.026,11.0,77.0,0.994,3.13,0.55,12.8,7,Medium Quality,High Quality
0,9.0,0.26,0.37,13.5,0.091,53.0,109.0,0.992,3.06,0.45,12.9,6,Medium Quality,Low Quality
